,name,company,year,Price,kms_driven,fuel_type
414,Suzuki Baleno next-G,Suzuki,2003,45500000,210000,Bensin
415,Ford Fiesta Trend,Ford,2011,95000000,85000,Bensin
416,Ford Ecosport Titanium,Ford,2015,160000000,50000,Bensin
417,Timor,Timor,1997,30000000,45000,Bensin
418,Hino Dutro Truck,Hino,2004,65000000,20000,Diesel
419,Chevrolet Orlando LT,Chevrolet,2014,165000000,35000,Bensin
420,Land Rover Range,Land Rover,2013,549000000,50000,Bensin
421,Daihatsu Gran max,Daihatsu,2016,95000000,40000,Bensin
422,Nissan Livina,Nissan,2012,125000000,110000,Bensin
423,Honda Mobilio E,Honda,2015,145000000,45000,Bensin
424,Jeep Rubicon,Jeep,2012,800000000,10000,Diesel
425,Nissan X-Trail,Nissan,2014,189000000,80000,Bensin
426,Nissan Serena,Nissan,2004,60000000,165000,Bensin
427,Mitsubishi Pajero Sport,Mitsubishi,2019,544500000,5000,Diesel
428,Nissan Grand livina,Nissan,2016,125000000,85000,Bensin
429,Hyundai Avega SG,Hyundai,2014,125000000,45000,Bensin
430,Proton Savvy,Proton,2009,45000000,90000,Bensin
431,Mitsubishi Pajero Sport,Mitsubishi,2009,225000000,170000,Diesel
432,Mercedes-Benz C-Class C200,Mercedes-Benz,2008,200000000,35000,Bensin
433,Suzuki Karimun GX,Suzuki,2005,60000000,45000,Bensin
434,Datsun Go+ Panca,Datsun,2016,75000000,55000,Bensin
435,BMW Serie 3,BMW,1995,45000000,265000,Bensin
436,Mercedes-Benz C-Class C200,Mercedes-Benz,1996,48000000,230000,Bensin
437,Datsun Go Panca,Datsun,2015,70000000,45000,Bensin
438,Honda Brio,Honda,2013,105000000,85000,Bensin
439,Suzuki Ertiga GL,Suzuki,2019,160000000,10000,Bensin
440,Toyota Innova G,Toyota,2004,145000000,5000,Diesel
441,Chery QQ Compact,Chery,2010,35000000,40000,Bensin
442,Mazda CX-5 Grand,Mazda,2015,299000000,60000,Bensin
443,Toyota Vios,Toyota,2009,70000000,12500,Bensin
444,Suzuki Grand vitara,Suzuki,2008,86000000,200000,Bensin
445,Datsun Go+ Panca,Datsun,2016,78000000,5000,Bensin
446,Hino Dutro,Hino,2014,240000000,110000,Diesel
447,Hyundai Grand Avega,Hyundai,2012,113000000,85000,Bensin
448,Daihatsu Xenia R,Daihatsu,2015,118000000,60000,Bensin
449,Toyota Yaris S,Toyota,2010,107000000,140000,Bensin
450,Mitsubishi Pajero Sport,Mitsubishi,2013,305000000,70000,Diesel
451,KIA Sportage Plantinum,KIA,2001,30000000,20000,Bensin
452,Hyundai New Tucson,Hyundai,2012,135000000,95000,Bensin
453,Mazda Biante 2.0,Mazda,2015,227000000,55000,Bensin
454,Ford Fiesta Trend,Ford,2011,95000000,75000,Bensin
455,Daihatsu Terios TX,Daihatsu,2014,139000000,55000,Bensin
456,Hyundai,Hyundai,2007,45000000,145000,Bensin
457,Peugeot 307,Peugeot,2004,78000000,155000,Diesel
458,Mitsubishi Lancer 1.8,Mitsubishi,1995,45000000,150000,Bensin
459,Daihatsu Xenia Xi,Daihatsu,2011,105000000,150000,Bensin
460,Isuzu,Isuzu,2013,132000000,55000,Diesel
461,Volkswagen Beetle,Volkswagen,1986,235000000,5000,Bensin
462,Mercedes-Benz SLK-Class SLK200,Mercedes-Benz,2009,525000000,35000,Bensin
463,Mazda 2 R,Mazda,2016,200000000,30000,Bensin
464,Toyota,Toyota,1986,15000000,205000,Bensin
465,Jeep Wrangler Rubicon,Jeep,2011,715000000,50000,Bensin
466,Daihatsu Gran max,Daihatsu,2015,87000000,100000,Bensin
467,Mazda 2 V,Mazda,2013,112000000,55000,Bensin
468,Ford Ranger,Ford,2004,34500000,300000,Diesel
469,Mitsubishi Pajero Sport,Mitsubishi,2016,400000000,45000,Diesel
470,KIA Picanto SE,KIA,2009,59500000,5000,Bensin
471,Hino,Hino,2014,750000000,100000,Diesel
472,Mercedes-Benz C-Class C250,Mercedes-Benz,2016,655000000,15000,Bensin
473,Maserati Ghibli,Maserati,2017,1495000000,5000,Bensin
474,Suzuki Baleno,Suzuki,2017,185000000,25000,Bensin
475,Datsun Go+ Panca,Datsun,2016,70000000,65000,Bensin
476,Mazda CX-7,Mazda,2011,173500000,95000,Bensin
477,Hyundai i10 1.1,Hyundai,2011,78000000,70000,Bensin
478,Honda Brio E,Honda,2015,125000000,10000,Bensin
479,Mercedes-Benz CLS-Class CLS350,Mercedes-Benz,2012,650000000,35000,Bensin
480,Mitsubishi Outlander,Mitsubishi,2014,183000000,65000,Bensin
481,KIA,KIA,2013,195000000,30000,Bensin
482,Ford Ecosport Titanium,Ford,2014,119000000,40000,Bensin
483,Mitsubishi Xpander ULTIMATE,Mitsubishi,2019,250000000,5000,Bensin
484,Nissan Evalia,Nissan,2012,73000000,105000,Bensin
485,Mercedes-Benz CLA-Class CLA45,Mercedes-Benz,2014,439000000,35000,Bensin
486,Isuzu D-Max,Isuzu,2012,135000000,75000,Diesel
487,Datsun Go+ Panca,Datsun,2014,65000000,95000,Bensin
488,Suzuki Carry,Suzuki,1996,20000000,5000,Bensin
489,Mitsubishi L300 Pick,Mitsubishi,2013,117000000,85000,Diesel
490,Nissan Grand livina,Nissan,2009,95000000,35000,Bensin
491,Jeep Wrangler Sahara,Jeep,2011,620000000,30000,Bensin
492,Lexus RX 200T,Lexus,2016,990000000,45000,Bensin
493,Mazda 2 GT,Mazda,2014,184000000,70000,Bensin
494,Volkswagen Beetle,Volkswagen,1986,53000000,285000,Bensin
495,Nissan X-Trail,Nissan,2010,115000000,115000,Bensin
496,Chevrolet Captiva,Chevrolet,2007,90000000,95000,Bensin
497,Toyota Kijang SX,Toyota,2000,65000000,115000,Bensin
498,Mercedes-Benz E-Class E300,Mercedes-Benz,1988,33000000,210000,Bensin
499,Daihatsu Terios TX,Daihatsu,2013,125000000,70000,Bensin
500,Chevrolet Captiva,Chevrolet,2011,135000000,50000,Diesel
501,Mini Cooper Mini,Mini Cooper,2015,625000000,15000,Bensin
502,Daihatsu Taft,Daihatsu,1986,43000000,15000,Bensin
503,Suzuki Wagon R,Suzuki,2011,66500000,50000,Bensin
504,Hyundai H-1 Elegance,Hyundai,2008,88000000,115000,Bensin
505,Daihatsu Ayla X,Daihatsu,2014,84500000,60000,Bensin
506,Chevrolet Trax LTZ,Chevrolet,2017,215000000,15000,Bensin
507,Datsun Go+,Datsun,2014,85000000,40000,Bensin
508,KIA Picanto SE,KIA,2011,83000000,65000,Bensin
509,Honda Odyssey Absolute,Honda,2003,88000000,130000,Bensin
510,Mitsubishi Pajero Sport,Mitsubishi,2014,265000000,65000,Diesel
511,Mazda 323,Mazda,1997,38000000,110000,Bensin
512,BMW X5 xDrive35i,BMW,2015,809000000,40000,Bensin
513,Daihatsu Terios TX,Daihatsu,2011,122000000,40000,Bensin
514,Honda Freed E,Honda,2012,164000000,70000,Bensin
515,Honda Mobilio E,Honda,2017,175000000,5000,Bensin
516,KIA Rio,KIA,2012,54000000,35000,Bensin
517,Audi Audi A4,Audi,2013,255000000,55000,Bensin
518,Honda Mobilio S,Honda,2017,134000000,55000,Bensin
519,Nissan Livina,Nissan,2013,115000000,60000,Bensin
520,Nissan Livina,Nissan,2014,115000000,245000,Bensin
521,Daihatsu Espass,Daihatsu,1995,27000000,10000,Bensin
522,Toyota Avanza Veloz,Toyota,2012,125000000,30000,Bensin
523,BMW Serie 3,BMW,2012,219000000,40000,Bensin
524,Nissan March,Nissan,2011,82000000,80000,Bensin
525,Nissan Evalia ST,Nissan,2014,95000000,40000,Bensin
526,Daihatsu Xenia X,Daihatsu,2013,116000000,80000,Bensin
527,Mitsubishi Lancer 1.6,Mitsubishi,1997,65000000,15000,Bensin
528,Mazda Biante 2.0,Mazda,2015,255000000,65000,Bensin
529,Isuzu Panther,Isuzu,1994,43000000,35000,Diesel
530,KIA Picanto A/T,KIA,2007,55000000,90000,Bensin
531,Isuzu Panther LV,Isuzu,2016,190000000,40000,Diesel
532,Mazda 2 V,Mazda,2012,115000000,55000,Bensin
533,BMW Serie 7,BMW,2015,1375000000,5000,Bensin
534,Proton Gen2,Proton,2013,72000000,30000,Bensin
535,Nissan Juke RX,Nissan,2012,128000000,45000,Bensin
536,BMW Serie 2,BMW,2015,355000000,35000,Bensin
537,Chevrolet Orlando LT,Chevrolet,2014,165000000,65000,Bensin
538,Ford Focus S,Ford,2013,185000000,35000,Bensin
539,Mazda Biante 2.0,Mazda,2015,270000000,45000,Bensin
540,Mazda 2 GT,Mazda,2015,190000000,65000,Bensin
541,Toyota Avanza G,Toyota,2010,107000000,30000,Bensin
542,Mercedes-Benz S-Class S400,Mercedes-Benz,2015,1550000000,20000,Bensin
543,Daihatsu Xenia X,Daihatsu,2012,89000000,110000,Bensin
544,BMW X1 sDrive18i,BMW,2017,525000000,25000,Bensin
545,Isuzu Panther LS,Isuzu,2001,74000000,135000,Diesel
546,Hyundai i10 1.1,Hyundai,2009,62000000,70000,Bensin
547,Toyota Vios G,Toyota,2005,55000000,20000,Bensin
548,Suzuki Katana GX,Suzuki,1996,45000000,95000,Bensin
549,Datsun Go+ Panca,Datsun,2015,70000000,75000,Bensin
550,Mini Cooper Mini,Mini Cooper,2012,675000000,10000,Bensin
551,Isuzu Panther,Isuzu,1997,75000000,160000,Diesel
552,Suzuki Ertiga GX,Suzuki,2016,145000000,75000,Bensin
553,Ford Everest XLT,Ford,2005,82000000,165000,Diesel
554,Nissan Serena HWS,Nissan,2004,81000000,45000,Bensin
555,Suzuki Wagon R,Suzuki,2015,85000000,45000,Bensin
556,Mercedes-Benz,Mercedes-Benz,2015,410000000,25000,Bensin
557,BMW X1 sDrive20d,BMW,2011,265000000,55000,Diesel
558,Mercedes-Benz Vito,Mercedes-Benz,2001,83000000,60000,Bensin
559,Toyota Voxy,Toyota,2018,418000000,10000,Bensin
560,Mazda Biante 2.0,Mazda,2013,185000000,75000,Bensin
561,Datsun 120,Datsun,1986,22000000,75000,Bensin
562,Volkswagen Golf MkVII,Volkswagen,2014,249000000,35000,Bensin
563,Mitsubishi Pajero Sport,Mitsubishi,2011,250000000,45000,Diesel
564,BMW Serie 3,BMW,2002,82000000,95000,Bensin
565,Isuzu Elf Minibus,Isuzu,2010,140000000,120000,Diesel
566,Toyota Agya TRD,Toyota,2016,115000000,60000,Bensin
567,Honda CR-V 2.0,Honda,2007,97000000,145000,Bensin
568,Chevrolet Blazer,Chevrolet,2005,65000000,35000,Bensin
569,Daihatsu Ayla X,Daihatsu,2018,100000000,15000,Bensin
570,Chevrolet Spin LTZ,Chevrolet,2015,110000000,55000,Bensin
571,Lexus RX 350,Lexus,2005,155000000,100000,Bensin
572,BMW X5 E70,BMW,2010,320000000,40000,Bensin
573,Cadillac Escalade V8,Cadillac,2011,800000000,5000,Bensin
574,Daihatsu Gran max,Daihatsu,2017,95000000,45000,Bensin
575,Daihatsu Xenia R,Daihatsu,2012,115000000,120000,Bensin
576,Suzuki Ertiga GL,Suzuki,2013,112500000,85000,Bensin
577,Nissan Livina X-Gear,Nissan,2008,87500000,80000,Bensin
578,Nissan X-Trail,Nissan,2010,117000000,110000,Bensin
579,Jeep Wrangler Sport,Jeep,1997,369000000,135000,Bensin
580,Lexus RX 270,Lexus,2012,380000000,55000,Bensin
581,Ford Ecosport Titanium,Ford,2015,130000000,75000,Bensin
582,Mercedes-Benz C-Class C280,Mercedes-Benz,2002,99000000,100000,Bensin
583,Daihatsu Ayla X,Daihatsu,2017,91500000,45000,Bensin
584,Daihatsu Gran max,Daihatsu,2019,125000000,10000,Bensin
585,Mini Cooper Mini,Mini Cooper,1986,450000000,60000,Bensin
586,Suzuki Jimny,Suzuki,1986,53000000,20000,Bensin
587,Mazda 2 R,Mazda,2017,203500000,30000,Bensin
588,KIA Picanto SE,KIA,2013,85000000,50000,Bensin
589,Suzuki Ertiga GX,Suzuki,2018,165000000,10000,Bensin
590,Isuzu,Isuzu,2016,218000000,65000,Diesel
591,Suzuki Ertiga GL,Suzuki,2014,130000000,60000,Bensin
592,Nissan Juke RX,Nissan,2012,139000000,105000,Bensin
593,Daihatsu Zebra Minibus,Daihatsu,2001,23000000,5000,Bensin
594,Mazda 2 V,Mazda,2014,125000000,30000,Bensin
595,Isuzu Elf Minibus,Isuzu,2015,260000000,12500,Diesel
596,Lexus LX 570,Lexus,2010,1175000000,95000,Bensin
597,Mini Cooper Mini,Mini Cooper,2014,585000000,5000,Bensin
598,Isuzu Panther LV,Isuzu,2005,95000000,215000,Diesel
599,Datsun Go+ Panca,Datsun,2015,75000000,105000,Bensin
600,Toyota Sienta G,Toyota,2017,180000000,45000,Bensin
601,Chevrolet Spin ACTIV,Chevrolet,2015,147500000,20000,Bensin
602,Chevrolet Captiva,Chevrolet,2009,115000000,25000,Bensin
603,Nissan Grand livina,Nissan,2009,70000000,175000,Bensin
604,Daihatsu Sigra 1.2,Daihatsu,2018,101000000,60000,Bensin
605,Mazda CX-3,Mazda,2017,335000000,10000,Bensin
606,Chevrolet Trax LTZ,Chevrolet,2017,215000000,20000,Bensin
607,Isuzu Panther Pick,Isuzu,2008,80000000,145000,Diesel
608,Daihatsu Sigra 1.2,Daihatsu,2018,109000000,15000,Bensin
609,Mitsubishi Xpander GLX,Mitsubishi,2018,190000000,40000,Bensin
610,Hyundai i20,Hyundai,2016,126000000,85000,Bensin
611,BMW Serie 3,BMW,2014,349000000,45000,Bensin
612,Jeep Rubicon,Jeep,2012,710000000,25000,Bensin
613,Daihatsu Espass,Daihatsu,2007,30000000,35000,Bensin
614,Mitsubishi Xpander ULTIMATE,Mitsubishi,2017,225000000,10000,Bensin
615,Toyota Avanza G,Toyota,2014,112000000,100000,Bensin
616,Mercedes-Benz GLC-Class,Mercedes-Benz,2019,989000000,5000,Bensin
617,Honda City 1.5,Honda,1997,39000000,100000,Bensin
618,Datsun Go+ Panca,Datsun,2014,70000000,85000,Bensin
619,Porsche,Porsche,2014,890000000,30000,Bensin
620,Mercedes-Benz E-Class E300,Mercedes-Benz,2010,269000000,45000,Bensin
621,Datsun Go+ Panca,Datsun,2016,89950000,35000,Bensin
622,Mazda 2 R,Mazda,2016,172000000,70000,Bensin
623,Suzuki Katana,Suzuki,1986,88500000,5000,Bensin
624,Ford Fiesta Sport,Ford,2013,120000000,100000,Bensin
625,KIA Picanto SE,KIA,2012,79000000,65000,Bensin
626,KIA Sorento,KIA,2013,175000000,80000,Bensin
627,Nissan Grand livina,Nissan,2014,115000000,40000,Bensin
628,Mitsubishi Xpander ULTIMATE,Mitsubishi,2018,216000000,15000,Bensin
629,BMW Serie 3,BMW,1995,125000000,40000,Bensin
630,Mercedes-Benz S-Class S300,Mercedes-Benz,2010,467000000,20000,Bensin
631,Volkswagen Scirocco 1.4,Volkswagen,2014,375000000,25000,Bensin
632,Nissan March 1.2L,Nissan,2011,75000000,75000,Bensin
633,Nissan,Nissan,2012,60000000,15000,Bensin
634,Hino Dutro 300,Hino,2018,270000000,25000,Diesel
635,Isuzu Panther LV,Isuzu,2005,87000000,150000,Diesel
636,Isuzu Panther Touring,Isuzu,2004,110000000,205000,Diesel
637,Jeep CJ7,Jeep,1986,120000000,30000,Diesel
638,Honda Jazz RS,Honda,2016,185000000,55000,Bensin
639,Honda City S,Honda,2014,139000000,5000,Bensin
640,Daihatsu Terios TX,Daihatsu,2007,98000000,150000,Bensin
641,Mercedes-Benz B-Class,Mercedes-Benz,2004,124000000,95000,Bensin
642,Isuzu Panther LV,Isuzu,2007,90000000,115000,Diesel
643,KIA Picanto SE,KIA,2011,75000000,120000,Bensin
644,Mercedes-Benz E-Class E230,Mercedes-Benz,1991,65000000,100000,Bensin
645,Toyota Yaris G,Toyota,2018,190000000,10000,Bensin
646,Suzuki APV SGX,Suzuki,2016,145000000,80000,Bensin
647,Ford Ranger Standard,Ford,2013,110000000,75000,Diesel
648,Chevrolet Aveo LT,Chevrolet,2004,64000000,90000,Bensin
649,Mercedes-Benz SLK-Class SLK200,Mercedes-Benz,2012,615000000,25000,Bensin
650,Volkswagen Polo TSI,Volkswagen,2017,185000000,40000,Bensin
651,KIA Picanto M/T,KIA,2009,65000000,90000,Bensin
652,Mazda 2 R,Mazda,2011,120000000,80000,Bensin
653,Chevrolet Captiva,Chevrolet,2011,150000000,115000,Diesel
654,BMW Serie 3,BMW,1997,125000000,80000,Bensin
655,Mitsubishi Xpander ULTIMATE,Mitsubishi,2018,229000000,15000,Bensin
656,KIA Rio Hatchback,KIA,2013,108000000,95000,Bensin
657,Suzuki Karimun GX,Suzuki,2015,70000000,110000,Bensin
658,Lexus RX 270,Lexus,2011,330000000,30000,Bensin
659,Toyota Innova V,Toyota,2014,179000000,80000,Bensin
660,Chevrolet Estate LS,Chevrolet,2007,80000000,190000,Bensin
661,Suzuki Grand vitara,Suzuki,2011,105000000,90000,Bensin
662,KIA Travello,KIA,2007,68000000,95000,Diesel
663,Daihatsu Espass,Daihatsu,2005,42500000,75000,Bensin
664,Nissan Livina,Nissan,2013,115000000,115000,Bensin
665,Honda CR-V,Honda,2018,440000000,20000,Bensin
666,Hyundai Grand Avega,Hyundai,2012,110000000,65000,Bensin
667,Suzuki Ertiga GX,Suzuki,2014,112000000,80000,Bensin
668,Mazda E2000,Mazda,1997,40000000,90000,Bensin
669,Isuzu Panther,Isuzu,1994,43500000,30000,Diesel
670,Mazda CX-5 Touring,Mazda,2012,175000000,12500,Bensin
671,Jeep Jeep,Jeep,1986,75000000,85000,Bensin
672,KIA Rio,KIA,2012,101000000,75000,Bensin
673,KIA Sportage,KIA,2000,70000000,195000,Bensin
674,BMW Serie 3,BMW,2003,86000000,160000,Bensin
675,Mazda CX-3 Touring,Mazda,2017,320000000,35000,Bensin
676,Jeep Grand Cherokee,Jeep,2000,258000000,135000,Bensin
677,Honda CR-V 2.4,Honda,2005,95000000,170000,Bensin
678,Honda City i-DSI,Honda,2005,76000000,260000,Bensin
679,Ford Ranger WildTrak,Ford,2016,699000000,20000,Diesel
680,Suzuki Ignis GX,Suzuki,2017,120000000,5000,Bensin
681,Nissan Juke RX,Nissan,2011,122500000,110000,Bensin
682,KIA Sportage EX,KIA,2013,160000000,65000,Bensin
683,Nissan Serena Autech,Nissan,2015,269000000,75000,Bensin
684,Toyota Calya G,Toyota,2016,140000000,65000,Bensin
685,Chevrolet Captiva,Chevrolet,2008,105000000,115000,Bensin
686,Ford Ecosport Titanium,Ford,2014,105000000,110000,Bensin
687,Isuzu Panther,Isuzu,1994,40000000,105000,Diesel
688,Mitsubishi Pajero Sport,Mitsubishi,2016,405000000,80000,Diesel
689,BMW Serie 3,BMW,1994,75000000,165000,Bensin
690,Mitsubishi Pajero Sport,Mitsubishi,2011,225000000,55000,Bensin
691,Daihatsu Xenia X,Daihatsu,2018,136000000,30000,Bensin
692,Daihatsu Gran max,Daihatsu,2018,134200000,40000,Bensin
693,BMW X1 sDrive18i,BMW,2013,260000000,55000,Bensin
694,Isuzu New Panther,Isuzu,1998,78000000,25000,Diesel
695,Isuzu Panther,Isuzu,1997,60000000,200000,Diesel
696,Hyundai,Hyundai,2001,48000000,15000,Bensin
697,Isuzu Panther,Isuzu,2008,89000000,40000,Diesel
698,Datsun Go+ Panca,Datsun,2015,80000000,30000,Bensin
699,Ford Fiesta Trend,Ford,2013,97000000,35000,Bensin
700,Mercedes-Benz,Mercedes-Benz,1986,39000000,100000,Bensin
701,BMW Serie 3,BMW,1986,55000000,15000,Bensin
702,BMW Serie 3,BMW,2003,90000000,105000,Bensin
703,Honda Brio Satya,Honda,2016,119500000,20000,Bensin
704,Nissan X-Trail,Nissan,2008,69000000,115000,Bensin
705,Honda HR-V E,Honda,2015,225000000,40000,Bensin
706,Honda Brio Satya,Honda,2018,139500000,30000,Bensin
707,Honda Brio,Honda,2014,114500000,60000,Bensin
708,Toyota Camry V,Toyota,2016,377000000,50000,Bensin
709,Mazda Biante 2.0,Mazda,2016,245000000,25000,Bensin
710,BMW Serie 5,BMW,2012,370000000,40000,Diesel
711,Mercedes-Benz E-Class E250,Mercedes-Benz,2016,925000000,5000,Bensin
712,Isuzu Panther,Isuzu,1997,62000000,115000,Diesel
713,Mitsubishi Delica Standart,Mitsubishi,2015,195000000,120000,Bensin
714,Mazda CX-5 Touring,Mazda,2013,235000000,95000,Bensin
715,Volkswagen Tiguan TSI,Volkswagen,2015,245000000,75000,Bensin
716,Toyota Alphard G,Toyota,2005,145000000,105000,Bensin
717,Chevrolet Spark LT,Chevrolet,2010,68000000,12500,Bensin
718,Mitsubishi Eterna 2.0,Mitsubishi,1989,39000000,205000,Bensin
719,Mitsubishi Kuda GLX,Mitsubishi,2000,45000000,25000,Diesel
720,Honda Jazz i-DSI,Honda,2006,74000000,115000,Bensin
721,Mini Cooper Mini,Mini Cooper,2014,438000000,45000,Bensin
722,Suzuki Carry RV.,Suzuki,2001,43500000,15000,Bensin
723,Volvo XC90 T-6,Volvo,2007,195000000,65000,Bensin
724,Mini Cooper Mini,Mini Cooper,2017,590000000,15000,Bensin
725,Mitsubishi Pajero Sport,Mitsubishi,2016,415000000,60000,Diesel
726,Toyota Innova G,Toyota,2012,149000000,120000,Bensin
727,Datsun Go T,Datsun,2018,107500000,15000,Bensin
728,BMW X6 xDrive35i,BMW,2014,850000000,45000,Bensin
729,Daihatsu Xenia R,Daihatsu,2015,125000000,70000,Bensin
730,Suzuki Ertiga GX,Suzuki,2013,120000000,90000,Bensin
731,Daihatsu Taruna CL,Daihatsu,2000,45000000,15000,Bensin
732,Suzuki Baleno,Suzuki,2001,45000000,12500,Bensin
733,Chevrolet Captiva,Chevrolet,2010,99000000,150000,Diesel
734,Proton,Proton,2017,95000000,20000,Bensin
735,Mercedes-Benz S-Class S350,Mercedes-Benz,2011,676000000,25000,Bensin
736,Hyundai Trajet GLS,Hyundai,2000,65000000,120000,Bensin
737,KIA Carnival GS,KIA,2001,40000000,10000,Diesel
738,Mercedes-Benz,Mercedes-Benz,2013,690000000,105000,Diesel
739,Daihatsu Xenia R,Daihatsu,2012,98000000,160000,Bensin
740,BMW Serie 3,BMW,2014,475000000,25000,Bensin
741,Mazda CX-3 Touring,Mazda,2017,298000000,40000,Bensin
742,Land Rover Range,Land Rover,2018,2150000000,15000,Bensin
743,Nissan March 1.2L,Nissan,2013,83000000,60000,Bensin
744,Mercedes-Benz A-Class,Mercedes-Benz,2013,315000000,40000,Bensin
745,Daihatsu Feroza,Daihatsu,1995,38500000,30000,Bensin
746,Honda Odyssey,Honda,2004,79000000,105000,Bensin
747,Honda Mobilio RS,Honda,2016,170000000,55000,Bensin
748,Mazda,Mazda,2012,215000000,95000,Bensin
749,Suzuki Baleno next-G,Suzuki,2005,65000000,180000,Bensin
750,Chevrolet Aveo LT,Chevrolet,2014,100000000,85000,Bensin
751,BMW X5 xDrive35i,BMW,2015,745000000,35000,Bensin
752,Chevrolet Colorado,Chevrolet,2012,183000000,75000,Diesel
753,Datsun Go+ Panca,Datsun,2016,76000000,25000,Bensin
754,Audi Audi A4,Audi,2013,270000000,50000,Bensin
755,Mitsubishi Outlander,Mitsubishi,2015,230000000,25000,Bensin
756,Honda Freed E,Honda,2009,122000000,120000,Bensin
757,Daihatsu Gran max,Daihatsu,2008,56000000,255000,Bensin
758,Toyota Kijang LX,Toyota,2003,59000000,165000,Bensin
759,Chevrolet Spin,Chevrolet,2013,95000000,70000,Bensin
760,Daihatsu Gran max,Daihatsu,2015,85000000,100000,Bensin
761,Hyundai i20 GL,Hyundai,2010,75000000,115000,Bensin
762,BMW Serie 3,BMW,2016,699000000,30000,Bensin
763,Mazda CX-5 Elite,Mazda,2017,438000000,30000,Bensin
764,Mazda 5,Mazda,2017,200000000,15000,Bensin
765,Toyota Calya G,Toyota,2016,120000000,40000,Bensin
766,Mazda 323 Interplay,Mazda,1993,25000000,205000,Bensin
767,Nissan Grand livina,Nissan,2013,115000000,75000,Bensin
768,Chevrolet Aveo LS,Chevrolet,2011,68500000,50000,Bensin
769,Isuzu Elf Minibus,Isuzu,2014,310000000,55000,Diesel
770,Lain-lain,Lain-lain,2013,107000000,60000,Bensin
771,KIA Picanto SE,KIA,2013,88000000,50000,Bensin
772,BMW Serie 5,BMW,2016,559000000,30000,Bensin
773,Isuzu Panther,Isuzu,1998,59500000,300000,Diesel
774,Ford Ranger Base,Ford,2013,220000000,90000,Diesel
775,Nissan X-Trail,Nissan,2015,235000000,55000,Bensin
776,Honda Brio E,Honda,2017,134000000,45000,Bensin
777,Timor S515i,Timor,2000,33000000,12500,Bensin
778,Mitsubishi Xpander ULTIMATE,Mitsubishi,2018,240000000,15000,Bensin
779,BMW Serie 5,BMW,2005,83000000,185000,Bensin
780,BMW Serie 4,BMW,2017,1195000000,5000,Bensin
781,Suzuki Carry Pick-up,Suzuki,2018,94000000,15000,Bensin
782,Mazda CX-5 Grand,Mazda,2013,215500000,70000,Bensin
783,Isuzu,Isuzu,1996,46000000,120000,Diesel
784,BMW X1 sDrive18i,BMW,2017,520000000,15000,Bensin
785,Mercedes-Benz A-Class A250,Mercedes-Benz,2014,400000000,10000,Bensin
786,Mercedes-Benz ML-Class ML350,Mercedes-Benz,2009,275000000,70000,Bensin
787,Toyota Avanza G,Toyota,2013,120000000,90000,Bensin
788,Suzuki SX4,Suzuki,2007,94000000,175000,Bensin
789,Mercedes-Benz Lainnya,Mercedes-Benz,1997,65000000,105000,Bensin
790,Chevrolet Captiva,Chevrolet,2010,127000000,145000,Diesel
791,Chevrolet Orlando LT,Chevrolet,2012,150000000,65000,Bensin
792,BMW Serie 5,BMW,2018,995000000,10000,Bensin
793,Suzuki SX4 Cross,Suzuki,2011,105000000,140000,Bensin
794,KIA Picanto M/T,KIA,2012,85000000,55000,Bensin
795,Honda Brio Satya,Honda,2017,140000000,20000,Bensin
796,Ford Fiesta Sport,Ford,2013,108000000,60000,Bensin
797,Mercedes-Benz E-Class E250,Mercedes-Benz,2012,350000000,30000,Bensin
798,Lexus RX 200T,Lexus,2016,1050000000,35000,Bensin
799,Honda Jazz RS,Honda,2008,127000000,115000,Bensin
800,Daihatsu Terios TX,Daihatsu,2008,118000000,100000,Bensin
801,Mercedes-Benz S-Class S280,Mercedes-Benz,1986,380000000,50000,Bensin
802,Isuzu New Panther,Isuzu,2006,93000000,205000,Diesel
803,Nissan Serena,Nissan,1999,45000000,12500,Bensin
804,Chevrolet Trooper,Chevrolet,1993,78000000,105000,Bensin
805,Subaru XV 201,Subaru,2013,150000000,50000,Bensin
806,Volkswagen Tiguan,Volkswagen,2013,199000000,35000,Bensin
807,Mitsubishi Pajero Sport,Mitsubishi,2012,280000000,110000,Diesel
808,Mazda MPV V6,Mazda,2002,60000000,150000,Bensin
809,BMW Serie 3,BMW,1995,37500000,225000,Bensin
810,Honda Mobilio E,Honda,2017,155000000,20000,Bensin
811,Suzuki Ertiga,Suzuki,2013,108000000,75000,Bensin
812,Daihatsu Gran max,Daihatsu,2019,114000000,10000,Bensin
813,Chevrolet Spin LTZ,Chevrolet,2014,119000000,25000,Bensin
814,Datsun Go+ Panca,Datsun,2016,77000000,35000,Bensin
815,Suzuki Swift GX,Suzuki,2013,137000000,80000,Bensin
816,Isuzu,Isuzu,2012,130000000,35000,Diesel
817,Hyundai Cakra,Hyundai,1997,27000000,105000,Bensin
818,Honda Accord VTi-L,Honda,2011,175000000,100000,Bensin
819,Mercedes-Benz GLE-Class GLE400,Mercedes-Benz,2016,920000000,20000,Bensin
820,Suzuki Carry Pick-up,Suzuki,2015,62000000,70000,Bensin
821,Nissan Grand livina,Nissan,2013,94000000,55000,Bensin
822,KIA Picanto M/T,KIA,2011,72000000,75000,Bensin
823,Suzuki Ertiga GL,Suzuki,2017,154900000,25000,Bensin
824,Honda Freed E,Honda,2014,168000000,95000,Bensin
