,name,company,year,Price,kms_driven,fuel_type
94,Jaguar XJ Portfolio,Jaguar,1996,295000000,70000,Bensin
95,BMW X1 sDrive18i,BMW,2017,525000000,20000,Bensin
96,Mazda,Mazda,2013,145000000,50000,Bensin
97,Mazda Biante,Mazda,2012,230000000,35000,Bensin
98,Datsun Go+ Panca,Datsun,2017,99000000,25000,Bensin
99,Fiat Abart,Fiat,2017,1200000000,5000,Bensin
100,Datsun Go Panca,Datsun,2017,82999975,40000,Bensin
101,Chevrolet Trax LTZ,Chevrolet,2018,235000000,25000,Hybrid
102,Mitsubishi Xpander ULTIMATE,Mitsubishi,2018,235000000,20000,Bensin
103,Mercedes-Benz E-Class E250,Mercedes-Benz,2017,995000000,10000,Bensin
104,Isuzu Panther LM,Isuzu,2003,78500000,115000,Diesel
105,Chevrolet Aveo LT,Chevrolet,2014,110000000,65000,Bensin
106,Mitsubishi Xpander ULTIMATE,Mitsubishi,2019,267100000,20000,Bensin
107,Honda Brio,Honda,2019,145500000,5000,Bensin
108,Suzuki Ertiga GL,Suzuki,2013,150000000,20000,Bensin
109,Mazda Biante,Mazda,2012,179000000,75000,Bensin
110,Nissan Teana 250,Nissan,2010,148000000,75000,Bensin
111,Land Rover Discovery,Land Rover,2015,1650000000,5000,Bensin
112,KIA Picanto A/T,KIA,2008,66000000,115000,Bensin
113,Nissan Grand livina,Nissan,2010,96000000,85000,Bensin
114,Mazda Biante,Mazda,2013,199000000,95000,Bensin
115,Chevrolet Spin LT,Chevrolet,2014,90000000,105000,Bensin
116,Chevrolet Orlando LT,Chevrolet,2012,140000000,100000,Bensin
117,Daihatsu Xenia R,Daihatsu,2014,123000000,70000,Bensin
118,Mercedes-Benz E-Class E320,Mercedes-Benz,1996,110000000,110000,Bensin
119,Chevrolet Captiva,Chevrolet,2011,210000000,35000,Diesel
120,Ford,Ford,1986,250000000,12500,Bensin
121,BMW Serie 3,BMW,2000,115000000,105000,Bensin
122,Nissan Terrano Kingsroad,Nissan,2004,75000000,185000,Bensin
123,Mazda 2,Mazda,2014,165000000,45000,Bensin
124,Honda Jazz S,Honda,2017,185000000,15000,Bensin
125,Jeep Rubicon,Jeep,2011,715000000,10000,Bensin
126,Nissan Grand livina,Nissan,2012,98000000,70000,Bensin
127,Mitsubishi Pajero Sport,Mitsubishi,2013,259000000,70000,Diesel
128,Hyundai Accent GLS,Hyundai,2001,37500000,180000,Bensin
