name,company,year,Price,kms_driven,fuel_type
Jaguar XJ Portfolio L,Jaguar,1996,295000000,70000,Bensin
BMW X1 sDrive18i,BMW,2017,525000000,20000,Bensin
Mazda ,Mazda,2013,145000000,50000,Bensin
Mazda Biante ,Mazda,2012,230000000,35000,Bensin
Datsun Go+ Panca T Ultimate,Datsun,2017,99000000,25000,Bensin
Fiat Abart ,Fiat,2017,1200000000,5000,Bensin
Datsun Go Panca T Active,Datsun,2017,82999975,40000,Bensin
Chevrolet Trax LTZ,Chevrolet,2018,235000000,25000,Hybrid
Mitsubishi Xpander ULTIMATE A/T,Mitsubishi,2018,235000000,20000,Bensin
Mercedes-Benz E-Class E250,Mercedes-Benz,2017,995000000,10000,Bensin
Isuzu Panther LM,Isuzu,2003,78500000,115000,Diesel
Chevrolet Aveo LT,Chevrolet,2014,110000000,65000,Bensin
Mitsubishi Xpander ULTIMATE A/T,Mitsubishi,2019,267100000,20000,Bensin
Honda Brio ,Honda,2019,145500000,5000,Bensin
Suzuki Ertiga GL,Suzuki,2013,150000000,20000,Bensin
Mazda Biante ,Mazda,2012,179000000,75000,Bensin
Nissan Teana 250 XV,Nissan,2010,148000000,75000,Bensin
Land Rover Discovery Sport HSE Si4,Land Rover,2015,1650000000,5000,Bensin
KIA Picanto A/T Option,KIA,2008,66000000,115000,Bensin
Nissan Grand livina ,Nissan,2010,96000000,85000,Bensin
Mazda Biante ,Mazda,2013,199000000,95000,Bensin
Chevrolet Spin LT,Chevrolet,2014,90000000,105000,Bensin
Chevrolet Orlando LT,Chevrolet,2012,140000000,100000,Bensin
Daihatsu Xenia R 1.3 Sporty,Daihatsu,2014,123000000,70000,Bensin
Mercedes-Benz E-Class E320,Mercedes-Benz,1996,110000000,110000,Bensin
Chevrolet Captiva ,Chevrolet,2011,210000000,35000,Diesel
Ford ,Ford,1986,250000000,12500,Bensin
BMW Serie 3 323i E46 2.5,BMW,2000,115000000,105000,Bensin
Nissan Terrano Kingsroad,Nissan,2004,75000000,185000,Bensin
Mazda 2 ,Mazda,2014,165000000,45000,Bensin
Honda Jazz S,Honda,2017,185000000,15000,Bensin
Jeep Rubicon ,Jeep,2011,715000000,10000,Bensin
Nissan Grand livina ,Nissan,2012,98000000,70000,Bensin
Mitsubishi Pajero Sport Exceed,Mitsubishi,2013,259000000,70000,Diesel
Hyundai Accent GLS,Hyundai,2001,37500000,180000,Bensin
Ford Fiesta Sport,Ford,2011,90000000,80000,Bensin
Mercedes-Benz E-Class E320,Mercedes-Benz,1994,73000000,140000,Bensin
Mitsubishi Triton ,Mitsubishi,2012,128000000,195000,Diesel
KIA Rio Hatchback,KIA,2012,110000000,65000,Bensin
Isuzu Panther ,Isuzu,1994,40000000,85000,Diesel
BMW Serie 3 325i,BMW,2006,155000000,105000,Bensin
Datsun 120 ,Datsun,1986,18500000,10000,Bensin
Mazda Astina ,Mazda,1991,35500000,35000,Bensin
Ford Ranger ,Ford,2014,1200000000,15000,Bensin
Hyundai Accent GLS,Hyundai,2001,36000000,150000,Bensin
Ford Ranger Base,Ford,2012,130000000,150000,Diesel
BMW Serie 3 320i Sport,BMW,2018,600000000,15000,Bensin
Nissan Serena HWS,Nissan,2013,168000000,85000,Bensin
Suzuki APV SGX Arena,Suzuki,2011,86000000,45000,Bensin
Volvo V70 ,Volvo,1997,102000000,75000,Bensin
Peugeot 306 ST,Peugeot,1996,25500000,105000,Bensin
Daihatsu Xenia Li Deluxe,Daihatsu,2010,83500000,145000,Bensin
Daihatsu Terios TX,Daihatsu,2011,138000000,75000,Bensin
Mitsubishi Xpander EXCEED M/T,Mitsubishi,2018,215000000,10000,Bensin
Chevrolet ,Chevrolet,1986,23200000,45000,Diesel
Suzuki Ertiga ,Suzuki,2019,185000000,5000,Bensin
Ford Fiesta Trend,Ford,2013,95000000,15000,Bensin
Ford Everest XLT,Ford,2008,115000000,175000,Diesel
Mazda Vantrend ,Mazda,1994,22500000,60000,Bensin
